input,soe-vinorm,Viphoneme,sea-g2p,NeMo
Tôi có 25 quyển sách.,tôi có hai mươi lăm quyển sách .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],tôi có hai mươi lăm quyển sách.,[ERROR: Language vi has not been supported yet.]
Kết quả là 3.14.,kết quả là ba phẩy mười bốn .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],kết quả là ba chấm một bốn.,[ERROR: Language vi has not been supported yet.]
Số tài khoản là 123456789.,số tài khoản là một trăm hai mươi ba triệu bốn trăm năm mươi sáu nghìn bảy trăm tám mươi chín .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],số tài khoản là một hai ba bốn năm sáu bảy tám chín.,[ERROR: Language vi has not been supported yet.]
Đây là lần thứ 2 tôi đến đây.,đây là lần thứ hai tôi đến đây .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],đây là lần thứ hai tôi đến đây.,[ERROR: Language vi has not been supported yet.]
Tôi học lớp 10A.,tôi học lớp mười a. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],tôi học lớp mười a.,[ERROR: Language vi has not been supported yet.]
Sự kiện diễn ra năm 2024.,sự kiện diễn ra năm hai nghìn không trăm hai mươi tư .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],sự kiện diễn ra năm hai nghìn không trăm hai mươi bốn.,[ERROR: Language vi has not been supported yet.]
Sinh nhật tôi là 01-05-2000.,sinh nhật tôi là một tháng năm năm hai nghìn .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],sinh nhật tôi là ngày một tháng năm hai nghìn.,[ERROR: Language vi has not been supported yet.]
Ngày 10/2,ngày mười tháng hai. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],ngày mười tháng hai,[ERROR: Language vi has not been supported yet.]
Hẹn gặp lúc 7h45.,hẹn gặp lúc bảy giờ bốn mươi lăm .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],hẹn gặp lúc bảy giờ bốn mươi lăm phút.,[ERROR: Language vi has not been supported yet.]
Cuộc họp lúc 14:30.,cuộc họp lúc mười bốn giờ ba mươi .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],cuộc họp lúc mười bốn giờ ba mươi phút.,[ERROR: Language vi has not been supported yet.]
Nhiệt độ từ 20-30 độ.,nhiệt độ từ hai mươi ba mươi độ .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],nhiệt độ từ hai mươi đến ba mươi độ.,[ERROR: Language vi has not been supported yet.]
60 km/h,sáu mươi kí lô mét trên giờ. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],sáu mươi ki lô mét trên giờ,[ERROR: Language vi has not been supported yet.]
25Hz,hai mươi lăm héc. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],hai mươi lăm héc,[ERROR: Language vi has not been supported yet.]
26 km²,hai mươi sáu kí lô mét. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],hai mươi sáu ki lô mét bình phương,[ERROR: Language vi has not been supported yet.]
4.336km²,bốn nghìn ba trăm ba mươi sáu kí lô mét. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],bốn nghìn ba trăm ba mươi sáu ki lô mét bình phương,[ERROR: Language vi has not been supported yet.]
"Giá cổ phiếu tăng từ $0.000045 lên $1,234.5678.",giá cổ phiếu tăng từ không chấm không không không không bốn mươi lăm lên một hai trăm ba mươi tư chấm năm nghìn sáu trăm bảy mươi tám .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],giá cổ phiếu tăng từ không chấm không không không không bốn lăm <en>u s d</en> lên một nghìn hai trăm ba mươi bốn phẩy năm sáu bảy tám <en>u s d</en>.,[ERROR: Language vi has not been supported yet.]
"Chi phí là 100,000 VNĐ.",chi phí là một trăm nghìn việt nam đồng .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],chi phí là một trăm nghìn việt nam đồng.,[ERROR: Language vi has not been supported yet.]
abc đến xyz,abc đến xyz. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],abc đến xyz,[ERROR: Language vi has not been supported yet.]
tỉ lệ 13:00,tỉ lệ mười ba giờ. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],tỉ lệ mười ba giờ không phút,[ERROR: Language vi has not been supported yet.]
Doanh thu quý II tăng mạnh.,doanh thu quý hai tăng mạnh .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],doanh thu quý hai tăng mạnh.,[ERROR: Language vi has not been supported yet.]
Trên cổng thông tin điện tử của Công an TP.HCM.,trên cổng thông tin điện tử của công an thành phố hồ chí minh .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],trên cổng thông tin điện tử của công an thành phố hồ chí minh.,[ERROR: Language vi has not been supported yet.]
"123,44867 chiếc",một trăm hai mươi ba phẩy bốn mươi tư nghìn tám trăm sáu mươi bảy chiếc. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],một trăm hai mươi ba phẩy bốn bốn tám sáu bảy chiếc,[ERROR: Language vi has not been supported yet.]
Hãy gửi email đến support@example.com.,hãy gửi email đến ét diu pi pi âu a ti a còng i ít ây em pi eo i chấm si âu em .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],hãy gửi email đến <en>support</en> a còng <en>example</en> chấm com.,[ERROR: Language vi has not been supported yet.]
3.5×10^6 giao dịch.,ba phẩy năm nhân mười mũ sáu giao dịch .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],ba chấm năm nhân mười mũ sáu giao dịch.,[ERROR: Language vi has not been supported yet.]
